GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jmeos,functions,error_handler,0,10,0,0,0,3,0,2,0,2
jmeos,functions,functions,6682,1869,79,1,1403,411,1154,373,1114,373
jmeos,functions,functions.MeosLibrary,0,9,0,0,0,2,0,1,0,1
jmeos,types.basic.tpoint,TPoint,1373,101,140,0,220,15,117,15,47,15
jmeos,types.basic.tpoint,TPointInst,7,18,0,0,3,6,2,2,2,2
jmeos,types.basic.tpoint,TPointSeqSet,3,18,0,0,2,6,1,2,1,2
jmeos,types.basic.tpoint,TPointSeq,3,18,0,0,2,6,1,2,1,2
jmeos,types.collections.geo,GeographySet,38,0,0,0,13,0,7,0,7,0
jmeos,types.collections.geo,GeometrySet,38,0,0,0,13,0,7,0,7,0
jmeos,types.collections.geo,GeoSet,179,0,14,0,43,0,25,0,18,0
jmeos,types.basic.tbool,TBool.new Set() {...},25,0,0,0,6,0,6,0,6,0
jmeos,types.basic.tbool,TBoolInst,36,43,0,0,7,13,4,7,4,7
jmeos,types.basic.tbool,TBoolSeq,18,48,0,0,4,15,2,8,2,8
jmeos,types.basic.tbool,TBool,239,93,9,11,40,16,23,14,18,9
jmeos,types.basic.tbool,TBoolSeqSet,9,43,0,0,1,13,1,7,1,7
jmeos,types.basic.tpoint.tgeom,TGeomPoint,167,53,17,5,25,7,19,4,10,2
jmeos,types.basic.tpoint.tgeom,TGeomPointSeqSet,9,43,0,0,1,13,1,7,1,7
jmeos,types.basic.tpoint.tgeom,TGeomPointInst,9,43,0,0,1,13,1,7,1,7
jmeos,types.basic.tpoint.tgeom,TGeomPointSeq,9,43,0,0,1,13,1,7,1,7
jmeos,types.temporal,TSequenceSet,69,34,14,0,17,9,9,3,2,3
jmeos,types.temporal,Temporal,1235,231,80,0,252,37,102,31,62,31
jmeos,types.temporal,TInstant,0,39,0,0,0,10,0,3,0,3
jmeos,types.temporal,TemporalType,67,27,20,0,13,5,11,1,1,1
jmeos,types.temporal,TemporalValue,61,0,10,0,17,0,12,0,7,0
jmeos,types.temporal,TInterpolation,12,67,2,5,2,17,2,8,0,5
jmeos,types.temporal,Factory,3,170,5,24,1,36,5,21,0,4
jmeos,types.temporal,TSequence,0,21,0,0,0,8,0,3,0,3
jmeos,types.basic.tfloat,TFloatSeqSet,0,52,0,0,0,15,0,8,0,8
jmeos,types.basic.tfloat,TFloatInst,0,52,0,0,0,14,0,8,0,8
jmeos,types.basic.tfloat,TFloatSeq,9,52,0,0,2,14,1,8,1,8
jmeos,types.basic.tfloat,TFloat,372,193,47,23,54,25,47,31,23,20
jmeos,types.basic.tpoint.tgeog,TGeogPoint,166,55,17,5,25,7,19,4,10,2
jmeos,types.basic.tpoint.tgeog,TGeogPointInst,9,43,0,0,1,13,1,7,1,7
jmeos,types.basic.tpoint.tgeog,TGeogPointSeqSet,9,43,0,0,1,13,1,7,1,7
jmeos,types.basic.tpoint.tgeog,TGeogPointSeq,9,43,0,0,1,13,1,7,1,7
jmeos,utils,PointerUtils,3,0,0,0,1,0,1,0,1,0
jmeos,utils,Pair,9,0,0,0,1,0,1,0,1,0
jmeos,utils,ConversionUtils,211,160,24,8,37,42,22,10,8,8
jmeos,utils,BuilderUtils,475,0,42,0,115,0,41,0,20,0
jmeos,utils,JarLibraryLoader,133,74,22,6,37,19,16,4,2,4
jmeos,utils,PointerUtils.PeriodPointer,6,0,0,0,2,0,1,0,1,0
jmeos,utils.meosCatalog,TemptypeCatalogStruct,15,0,0,0,6,0,3,0,3,0
jmeos,utils.meosCatalog,SpantypeCatalogStruct,15,0,0,0,6,0,3,0,3,0
jmeos,utils.meosCatalog,SettypeCatalogStruct,15,0,0,0,6,0,3,0,3,0
jmeos,utils.meosCatalog,MeosEnums,3,0,0,0,1,0,1,0,1,0
jmeos,utils.meosCatalog,MeosEnums.meosType,336,0,0,0,51,0,3,0,3,0
jmeos,utils.meosCatalog,MeosEnums.meosOper,315,0,0,0,48,0,3,0,3,0
jmeos,utils.meosCatalog,SpansettypeCatalogStruct,15,0,0,0,6,0,3,0,3,0
jmeos,builder,FunctionsExtractor,199,0,10,0,45,0,9,0,4,0
jmeos,builder,FunctionsGenerator,1114,0,66,0,219,0,57,0,23,0
jmeos,types.collections.base,Set,234,272,25,15,38,52,34,24,14,24
jmeos,types.collections.base,Span,282,382,25,33,42,77,32,36,12,27
jmeos,types.collections.base,SpanSet,242,577,25,39,43,93,34,37,15,24
jmeos,types.basic.tnumber,TNumber,1118,20,144,0,165,2,105,2,33,2
jmeos,types.basic.ttext,TTextInst,36,43,0,0,7,13,4,7,4,7
jmeos,types.basic.ttext,TText,606,53,73,5,100,9,76,6,39,4
jmeos,types.basic.ttext,TTextSeq,18,48,0,0,3,15,2,8,2,8
jmeos,types.basic.ttext,TTextSeqSet,9,43,0,0,1,13,1,7,1,7
jmeos,types.basic.ttext,TText.new Set() {...},29,0,0,0,6,0,6,0,6,0
jmeos,types.boxes,STBox,931,221,54,8,136,47,98,19,64,19
jmeos,types.boxes,TBox,867,231,126,14,166,54,104,18,38,14
jmeos,types.collections.number,IntSpan,210,290,25,17,37,63,28,30,11,26
jmeos,types.collections.number,FloatSpan,271,321,43,27,45,61,41,29,10,25
jmeos,types.collections.number,IntSpanSet,114,327,17,21,22,71,17,32,4,26
jmeos,types.collections.number,FloatSpanSet,115,341,18,22,22,69,18,32,4,26
jmeos,types.collections.number,FloatSet,143,252,19,23,21,54,22,25,8,18
jmeos,types.collections.number,IntSet,177,201,20,20,28,47,24,22,10,16
jmeos,types.basic.tint,TIntInst,0,52,0,0,0,14,0,8,0,8
jmeos,types.basic.tint,TIntSeq,0,57,0,0,0,17,0,9,0,9
jmeos,types.basic.tint,TIntSeqSet,0,52,0,0,0,15,0,8,0,8
jmeos,types.basic.tint,TInt,311,175,38,22,51,26,40,29,20,19
jmeos,types.collections.time,tstzset,677,350,62,15,88,53,68,26,18,20
jmeos,types.collections.time,test,64,0,0,0,20,0,12,0,12,0
jmeos,types.collections.time,tstzspan,400,931,35,51,58,130,47,70,14,38
jmeos,types.collections.time,TimeCollection,0,20,0,0,0,4,0,4,0,4
jmeos,types.collections.time,datespan,187,443,19,33,39,102,29,39,17,25
jmeos,types.collections.time,dateset,290,498,43,33,54,119,32,40,8,26
jmeos,types.collections.time,tstzspanset,318,739,39,48,48,104,44,62,11,33
jmeos,types.collections.time,datespanset,197,556,26,48,36,126,28,51,9,33
jmeos,types.collections.text,TextSet,87,80,8,2,17,20,10,12,5,12
